"","x"
"GO:0000002","GO:0001701"
"GO:0000003","GO:0006281"
"GO:0000012","GO:0006325"
"GO:0000017","GO:0006355"
"GO:0000018","GO:0006397"
"GO:0000022","GO:0006468"
"GO:0000023","GO:0006508"
"GO:0000027","GO:0006511"
"GO:0000028","GO:0006886"
"GO:0000038","GO:0006897"
"GO:0000045","GO:0006915"
"GO:0000050","GO:0006954"
"GO:0000052","GO:0006955"
"GO:0000053","GO:0006974"
"GO:0000054","GO:0007049"
"GO:0000055","GO:0007186"
"GO:0000056","GO:0007283"
"GO:0000070","GO:0007399"
"GO:0000076","GO:0007420"
"GO:0000077","GO:0008150"
"GO:0000079","GO:0008380"
"GO:0000080","GO:0010468"
"GO:0000082","GO:0010628"
"GO:0000083","GO:0015031"
"GO:0000086","GO:0016192"
"GO:0000098","GO:0016567"
"GO:0000103","GO:0030154"
"GO:0000105","GO:0030335"
"GO:0000117","GO:0035556"
"GO:0000122","GO:0042981"
"GO:0000132","GO:0043123"
"GO:0000154","GO:0045087"
"GO:0000165","GO:0045893"
"GO:0000183","GO:0050790"
"GO:0000184","GO:0051607"
"GO:0000209","GO:0000139"
"GO:0000212","GO:0005575"
"GO:0000226","GO:0005635"
"GO:0000244","GO:0005730"
"GO:0000245","GO:0005741"
"GO:0000255","GO:0005743"
"GO:0000266","GO:0005759"
"GO:0000278","GO:0005764"
"GO:0000281","GO:0005765"
"GO:0000288","GO:0005768"
"GO:0000289","GO:0005769"
"GO:0000290","GO:0005813"
"GO:0000291","GO:0005887"
"GO:0000294","GO:0005912"
"GO:0000296","GO:0009897"
"GO:0000301","GO:0010008"
"GO:0000302","GO:0014069"
"GO:0000303","GO:0016323"
"GO:0000304","GO:0016604"
"GO:0000338","GO:0016607"
"GO:0000349","GO:0030424"
"GO:0000350","GO:0030425"
"GO:0000354","GO:0031410"
"GO:0000375","GO:0031901"
"GO:0000379","GO:0031965"
"GO:0000380","GO:0043231"
"GO:0000381","GO:0045202"
"GO:0000387","GO:0048471"
"GO:0000388","GO:0070161"
"GO:0000389","GO:0098978"
"GO:0000395","GO:0003674"
"GO:0000398","GO:0003677"
"GO:0000413","GO:0003713"
"GO:0000416","GO:0003735"
"GO:0000422","GO:0003924"
"GO:0000423","GO:0004672"
"GO:0000430","GO:0004674"
"GO:0000432","GO:0004842"
"GO:0000435","GO:0005085"
"GO:0000447","GO:0005525"
"GO:0000448","GO:0008270"
"GO:0000451","GO:0019904"
"GO:0000453","GO:0031267"
"GO:0000454","GO:0061629"
"GO:0000455","GO:0061630"
"GO:0000460","GO:0106310"
